domain,problem_instance,variant,result,cost,num_nodes,n_rollouts,horizon,budget,exploration_const,normalize_exploration_const,n_init,risk_factor,goal_utility,seed
depot,3,unfactored,PlanningResult.FAILURE_BUDGET,100,534857,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,5,factored,PlanningResult.SUCCESS,72,226659,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,10,unfactored,ERROR,-1,-1,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,15,factored,PlanningResult.SUCCESS,56,24443,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,13,unfactored,ERROR,-1,-1,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,11,factored,PlanningResult.FAILURE_BUDGET,100,57043,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,13,factored,PlanningResult.SUCCESS,32,101885,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,9,unfactored,PlanningResult.FAILURE_BUDGET,100,338865,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,6,unfactored,PlanningResult.FAILURE_BUDGET,100,569574,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,12,factored,PlanningResult.FAILURE_BUDGET,100,48795,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,7,unfactored,PlanningResult.FAILURE_BUDGET,100,601248,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,4,unfactored,PlanningResult.FAILURE_BUDGET,100,479822,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,13,unfactored,PlanningResult.FAILURE_BUDGET,100,427441,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,10,factored,PlanningResult.SUCCESS,44,161837,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,14,unfactored,PlanningResult.FAILURE_BUDGET,100,451989,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,14,factored,PlanningResult.FAILURE_BUDGET,100,234049,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,15,unfactored,PlanningResult.SUCCESS,58,261011,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,10,unfactored,PlanningResult.FAILURE_BUDGET,100,639221,1000,20,100,1.4142135623730951,True,5,-0.1,1,
childsnack,4,unfactored,PlanningResult.FAILURE_BUDGET,100,597326,1000,20,100,1.4142135623730951,True,5,-0.1,1,
childsnack,4,factored,PlanningResult.FAILURE_BUDGET,100,819383,1000,20,100,1.4142135623730951,True,5,-0.1,1,
childsnack,5,factored,PlanningResult.FAILURE_BUDGET,100,706687,1000,20,100,1.4142135623730951,True,5,-0.1,1,
