domain,problem_instance,variant,result,cost,num_nodes,n_rollouts,horizon,budget,exploration_const,normalize_exploration_const,n_init,risk_factor,goal_utility,seed
transport,12,unfactored,PlanningResult.FAILURE_BUDGET,100,266964,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,12,unfactored,PlanningResult.FAILURE_BUDGET,100,276164,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,12,unfactored,PlanningResult.FAILURE_BUDGET,100,264648,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,12,unfactored,PlanningResult.FAILURE_BUDGET,100,281522,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,6,unfactored,PlanningResult.FAILURE_BUDGET,100,74540,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,6,unfactored,PlanningResult.FAILURE_BUDGET,100,75584,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,6,unfactored,PlanningResult.FAILURE_BUDGET,100,78698,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,88424,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,98326,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,99071,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,112057,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,140013,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,36,79950,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,146180,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,160645,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,134526,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,136317,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,125116,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,150713,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,151594,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,158438,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,158652,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,162052,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,149349,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,150965,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,167648,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,47,80997,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,168290,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,1,unfactored,PlanningResult.FAILURE_BUDGET,100,165828,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,38,82027,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,40,83011,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,44,86139,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,44,89979,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,40,85920,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,10,unfactored,PlanningResult.SUCCESS,49,86404,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,47,53863,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,37,59194,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,43,63765,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,39,66652,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,41,66144,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,35,67768,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,37,70034,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,40,75321,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,43,68707,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,46,73370,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,48,71188,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,45,73332,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,42,72861,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,50,83253,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,49,85993,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,48,79212,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,44,80022,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,52,85347,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,48,83443,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,8,unfactored,PlanningResult.SUCCESS,53,92227,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,146109,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,146397,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,149106,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,149447,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,152157,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,158824,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,142412,1000,20,100,1.4142135623730951,True,5,-0.1,1,
